All Industries_Other_All ages,last_val,diff
92.8,0.0,inf
95.2,92.8,2.5862068965517304
96.7,95.2,1.5756302521008403
97.5,96.7,0.8273009307135442
98.0,97.5,0.5128205128205128
98.7,98.0,0.7142857142857172
99.2,98.7,0.5065856129685917
99.3,99.2,0.1008064516128975
99.3,99.3,0.0
99.8,99.3,0.5035246727089627
100.0,99.8,0.20040080160320925
99.3,100.0,-0.7000000000000028
96.3,99.3,-3.0211480362537766
93.7,96.3,-2.6998961578400773
91.9,93.7,-1.9210245464247568
91.5,91.9,-0.43525571273123576
91.8,91.5,0.32786885245901326
92.2,91.8,0.43572984749455956
92.7,92.2,0.5422993492407809
93.3,92.7,0.6472491909385052
93.6,93.3,0.32154340836012557
94.1,93.6,0.5341880341880342
95.0,94.1,0.9564293304994748
95.5,95.0,0.5263157894736842
95.7,95.5,0.20942408376963648
95.6,95.7,-0.10449320794149271
96.3,95.6,0.7322175732217604
96.5,96.3,0.2076843198338555
96.4,96.5,-0.10362694300517547
96.4,96.4,0.0
96.5,96.4,0.103734439834019
96.2,96.5,-0.3108808290155411
96.1,96.2,-0.10395010395011281
95.9,96.1,-0.20811654526533677
95.6,95.9,-0.3128258602711276
95.5,95.6,-0.1046025104602451
